0=intro,initial
1=intro,initial2
2=intro,intro
3=minigame,videogame1
4=minigame,videogame2
5=minigame,videogame3
6=minigame,videogame4
7=minigame,horsebet
8=minigame,pooltable
9=minigame,ddr_lowrider
10=minigame,rc_car
11=intro,big_smoke
12=intro,ryder
13=sweet,tagging_up_turf
14=sweet,cleaning_the_hood
15=sweet,drive_thru
16=sweet,nines_and_aks
17=sweet,drive_by
18=sweet,sweets_girl
19=sweet,cesar_vialpando
20=sweet,los_sepulcros
21=crash,doberman
22=crash,burning_desire
23=crash,gray_imports
24=ryder,home_invasion
25=ryder,catalyst
26=ryder,robbing_uncle_sam
27=smoke,og_loc
28=smoke,running_dog
29=smoke,wrong_side_of_the_tracks
30=smoke,just_business
31=og_loc,lifes_a_beach
